timestamp,open,high,low,close,volume
2026-07-16 16:20:00,219.0500,275.7251,217.2000,218.0000,8344
2026-07-16 16:15:00,219.0500,219.0500,217.2000,217.6600,14889
2026-07-16 16:10:00,219.0500,219.0500,217.7500,217.7600,1423891
2026-07-16 16:05:00,218.1100,219.0500,217.4600,217.7500,31268
2026-07-16 16:00:00,219.2500,219.2999,217.2600,218.1100,3047781
2026-07-16 15:55:00,219.4700,219.9500,218.8600,219.1800,1126174
2026-07-16 15:50:00,218.3800,219.5800,218.3700,219.5000,413080
2026-07-16 15:45:00,217.8000,218.6600,217.8000,218.3400,263619
2026-07-16 15:40:00,217.9450,218.2600,217.6800,217.8750,188102
2026-07-16 15:35:00,217.9400,218.0442,217.7600,217.9450,170223
2026-07-16 15:30:00,217.6700,217.9500,217.4400,217.8850,180224
2026-07-16 15:25:00,218.1800,218.1800,217.4200,217.7300,176868
2026-07-16 15:20:00,218.3200,218.3500,217.9000,218.1300,204732
2026-07-16 15:15:00,218.5850,218.7300,218.2800,218.3700,127991
2026-07-16 15:10:00,218.5000,218.6700,218.3300,218.5200,70572
2026-07-16 15:05:00,218.8600,219.2000,218.4000,218.5200,62991
2026-07-16 15:00:00,219.1900,219.5500,219.0110,219.1200,105471
2026-07-16 14:55:00,219.4350,219.5953,218.8900,219.2000,158269
2026-07-16 14:50:00,219.4900,219.5000,219.1200,219.4350,106551
2026-07-16 14:45:00,219.5800,219.6500,219.1200,219.6000,151040
2026-07-16 14:40:00,219.2000,219.6391,218.9301,219.5831,166614
2026-07-16 14:35:00,218.8500,219.3800,218.7000,219.2000,150329
2026-07-16 14:30:00,219.0750,219.2500,218.6500,218.9700,169255
2026-07-16 14:25:00,219.4300,219.6099,219.0000,219.1399,151495
2026-07-16 14:20:00,219.2700,219.6800,219.0900,219.4055,142505
2026-07-16 14:15:00,219.2200,219.6000,219.0600,219.3100,214615
2026-07-16 14:10:00,218.9550,219.5700,218.8101,219.2900,179729
2026-07-16 14:05:00,218.1901,219.4100,217.9400,218.9550,284159
2026-07-16 14:00:00,217.8200,218.2183,217.6200,218.1500,143749
2026-07-16 13:55:00,217.5600,217.9000,217.4400,217.8700,95089
2026-07-16 13:50:00,217.8001,217.9000,217.4000,217.6050,98635
2026-07-16 13:45:00,217.6100,217.9000,217.4100,217.8500,128724
2026-07-16 13:40:00,217.6350,217.7500,217.3800,217.5912,170815
2026-07-16 13:35:00,217.9700,218.0210,217.2800,217.6350,162870
2026-07-16 13:30:00,218.1300,218.3400,217.8800,218.0300,177135
2026-07-16 13:25:00,217.7100,218.1900,217.5700,218.0800,181313
2026-07-16 13:20:00,218.2400,218.5500,217.5501,217.6600,288513
2026-07-16 13:15:00,217.7150,218.3400,217.6800,218.1800,217566
2026-07-16 13:10:00,217.4100,218.1800,217.3400,217.7250,235734
2026-07-16 13:05:00,216.9000,217.6000,216.4500,217.4150,203808
2026-07-16 13:00:00,217.8600,217.8600,216.2300,216.9000,321858
2026-07-16 12:55:00,217.4990,218.0800,217.2500,217.8050,279527
2026-07-16 12:50:00,217.2000,217.5200,216.9300,217.5000,335951
2026-07-16 12:45:00,216.6600,217.3700,215.9210,217.2200,460933
2026-07-16 12:40:00,215.4400,216.7100,215.3700,216.6450,349660
2026-07-16 12:35:00,214.9150,215.7500,214.4700,215.4000,312501
2026-07-16 12:30:00,214.3150,215.5300,214.2301,214.9150,391162
2026-07-16 12:25:00,214.4300,214.5000,213.6300,214.3400,181288
2026-07-16 12:20:00,213.6250,214.5000,213.3000,214.4900,300465
2026-07-16 12:15:00,213.7850,214.2400,213.5500,213.6500,193488
2026-07-16 12:10:00,213.8050,214.2500,213.4600,213.7850,210065
2026-07-16 12:05:00,213.3000,213.9376,213.1180,213.8050,180301
2026-07-16 12:00:00,213.1600,213.5600,212.8501,213.3950,127657
2026-07-16 11:55:00,212.2500,213.2400,212.1600,213.1800,144784
2026-07-16 11:50:00,212.4600,212.5000,212.0700,212.2500,102107
2026-07-16 11:45:00,212.4650,212.8500,211.9700,212.4558,234158
2026-07-16 11:40:00,212.8300,212.9069,212.3001,212.5321,127258
